# Copyright (C) 1991-2011 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 32-bit Version 11.1 Build 259 01/25/2012 Service Pack 2 SJ Web Edition
# File: C:\Users\sunhee\Desktop\DE0_Default.csv
# Generated on: Mon Sep 01 16:39:48 2014

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Differential Pair,Slew Rate
LEDG[9],Unknown,PIN_B1,1,B1_N0,3.3-V LVTTL,,,,
LEDG[8],Unknown,PIN_B2,1,B1_N0,3.3-V LVTTL,,,,
LEDG[7],Unknown,PIN_C2,1,B1_N0,3.3-V LVTTL,,,,
LEDG[6],Unknown,PIN_C1,1,B1_N0,3.3-V LVTTL,,,,
LEDG[5],Unknown,PIN_E1,1,B1_N0,3.3-V LVTTL,,,,
LEDG[4],Unknown,PIN_F2,1,B1_N0,3.3-V LVTTL,,,,
LEDG[3],Unknown,PIN_H1,1,B1_N1,3.3-V LVTTL,,,,
LEDG[2],Unknown,PIN_J3,1,B1_N1,3.3-V LVTTL,,,,
LEDG[1],Unknown,PIN_J2,1,B1_N1,3.3-V LVTTL,,,,
LEDG[0],Unknown,PIN_J1,1,B1_N1,3.3-V LVTTL,,,,
SW[9],Unknown,PIN_D2,1,B1_N0,3.3-V LVTTL,,,,
SW[8],Unknown,PIN_E4,1,B1_N0,3.3-V LVTTL,,,,
SW[7],Unknown,PIN_E3,1,B1_N0,3.3-V LVTTL,,,,
SW[6],Unknown,PIN_H7,1,B1_N0,3.3-V LVTTL,,,,
SW[5],Unknown,PIN_J7,1,B1_N1,3.3-V LVTTL,,,,
SW[4],Unknown,PIN_G5,1,B1_N0,3.3-V LVTTL,,,,
